aphiaID,taxonID,class,order,scientificName,taxon_cpr_list,FG_complete,filter_or_not
51,5808,NA,NA,Mollusca,Mollusc,na,0
101,5591,Gastropoda,NA,Gastropoda,Gastropod,omnivore,0
105,5373,Bivalvia,NA,Bivalvia,Bivalve,omnivore,0
799,NA,NA,NA,NA,Nematoda,na,0
883,5962,Polychaeta,NA,Polychaeta,Polychaete,na,0
932,4581,Polychaeta,Phyllodocida,Alciopini,Alciopidae,carnivore,0
933,4642,Polychaeta,Phyllodocida,Lopadorrhynchidae,Lopadorrhynchidae indet,carnivore,0
1066,5478,NA,NA,Crustacea,Nauplii crustracean,na,0
1069,5383,Branchiopoda,NA,Branchiopoda,Branchiopoda indet,na,0
1071,5768,Malacostraca,NA,Malacostraca,Megalope,na,0
1078,5891,Ostracoda,NA,Ostracoda,Ostracod,omnivore,0
1082,5441,Thecostraca,NA,Cirripedia,Barnacle cyprid,omnivore,0
1100,601,Copepoda,Calanoida,Calanoida,Calanoid copepods (small),omnivore,0
1101,3774,Copepoda,Cyclopoida,Cyclopoida,Poecilostomatoida / Cyclopoid,omnivore,0
1102,3887,Copepoda,Harpacticoida,Harpacticoida,Harpacticoid,omnivore,0
1104,4276,Copepoda,Siphonostomatoida,Siphonostomatoida,Siphonostomatoida,omnivore,0
1128,3029,Malacostraca,Euphausiacea,Euphausiacea,Euphausiacea Total,omnivore,0
1130,2738,Malacostraca,Decapoda,Decapoda,Decapod larvae,na,0
1131,5684,Malacostraca,Isopoda,Isopoda,Isopod,omnivore,0
1135,4,Malacostraca,Amphipoda,Amphipoda,Amphipod,omnivore,0
1137,5485,Malacostraca,Cumacea,Cumacea,Cumacea,omnivore,0
1205,NA,NA,NA,NA,Hyperiidea indet,carnivore,0
1207,NA,NA,NA,NA,Gammarid amphipod,omnivore,0
1248,5483,NA,NA,Ctenophora,Ctenophore,carnivore,0
1267,5457,NA,NA,Cnidaria,Cnidarian larvae,carnivore,0
1268,6065,NA,Sipuncula,Sipuncula,Sipunculid worm larvae,omnivore,0
1300,NA,NA,NA,NA,Arachnid terrestrial,na,0
1302,NA,NA,NA,NA,Pycnogonida,carnivore,0
1307,NA,NA,NA,NA,Insect terrestrial,na,0
1337,5669,Hydrozoa,NA,Hydrozoa,Hydromedusae,carnivore,0
1371,5164,Hydrozoa,Siphonophorae,Siphonophorae,Siphonophore,carnivore,0
1410,NA,NA,NA,NA,Foram A,na,0
1648,NA,NA,NA,NA,Pelagosphera larvae,na,0
1803,NA,NA,NA,NA,Brachiopoda larvae,na,0
1806,NA,NA,NA,NA,Echinoderm larvae,na,0
1828,5607,NA,NA,Gnathostomata,Pisces egg,na,0
2081,5419,NA,NA,Chaetognatha,Chaetognatha,carnivore,0
5953,2561,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae indet,carnivore,0
10194,NA,NA,NA,NA,Fish eggs (Total),na,0
10295,NA,NA,NA,NA,Leptocephalus larvae,na,0
11707,5413,Cephalopoda,NA,Cephalopoda,Cephalopoda j,na,0
11716,6133,Cephalopoda,Teuthida,Teuthida,Teuthida indet,carnivore,0
13551,3093,Hydrozoa,Anthoathecata,Anthoathecata,Anthoathecata,carnivore,0
13703,NA,NA,NA,NA,Thecosomata (North Atlantic),omnivore,0
14355,NA,NA,NA,NA,Stomatopod,carnivore,0
14712,NA,NA,NA,NA,Opisthobranchia,na,0
14777,6151,Gastropoda,Littorinimorpha,Tonnoidea,Stylocheiron carinatum,na,0
16350,3444,Hydrozoa,Trachymedusae,Trachymedusae,Trachymedusae,carnivore,0
17446,NA,NA,NA,NA,Appendicularia,filter-feeder,1
19494,5668,Hydrozoa,NA,Hydroidolina,Hydroid,carnivore,0
23000,4784,Gastropoda,Pteropoda,Cavoliniidae,Cavoliniidae,carnivore,0
101417,92,Malacostraca,Amphipoda,Hyperiidae,Hyperiid amphipod,carnivore,0
101424,216,Malacostraca,Amphipoda,Scinidae,Scinidae,omnivore,0
101796,85,Malacostraca,Amphipoda,Hyperia,Hyperia spp.,carnivore,0
101798,95,Malacostraca,Amphipoda,Hyperoche,Hyperoche sp.,carnivore,0
101800,237,Malacostraca,Amphipoda,Themisto,Themisto sp.,carnivore,0
101802,126,Malacostraca,Amphipoda,Mimonectes,Mimonectes spp.,omnivore,0
101804,164,Malacostraca,Amphipoda,Phronima,Phronima spp.,carnivore,0
101806,193,Malacostraca,Amphipoda,Primno,Primno spp.,omnivore,0
101810,210,Malacostraca,Amphipoda,Scina,Scina spp.,omnivore,0
101812,254,Malacostraca,Amphipoda,Vibilia,Vibilia spp.,omnivore,0
101812,254,Malacostraca,Amphipoda,Vibilia,Vibilia spp.,omnivore,0
103241,19,Malacostraca,Amphipoda,Brachyscelus crusculum,Brachyscelus crusculum,omnivore,0
103254,89,Malacostraca,Amphipoda,Hyperia spinigera,Hyperia spinigera,carnivore,0
103256,97,Malacostraca,Amphipoda,Hyperoche medusarum,Hyperoche medusarum,carnivore,0
103273,175,Malacostraca,Amphipoda,Phrosina semilunata,Phrosina semilunata,omnivore,0
103354,286,Appendicularia,Copelata,Fritillariidae,Fritillariidae,filter-feeder,1
103356,314,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,filter-feeder,1
103357,6335,Appendicularia,Copelata,Appendicularia,Appendicularia,filter-feeder,1
103358,278,Appendicularia,Copelata,Fritillaria,Fritillaria sp.,filter-feeder,1
103367,295,Appendicularia,Copelata,Oikopleura,Oikopleura spp.,filter-feeder,1
103386,284,Appendicularia,Copelata,Fritillaria pellucida,Fritillaria pellucida,filter-feeder,1
103483,5332,Ascidiacea,Phlebobranchia,Ascidia,Colonial ascidian larvae,filter-feeder,1
104075,396,Copepoda,Calanoida,Aetideidae,Aetideidae,omnivore,0
104079,600,Copepoda,Calanoida,Calanidae,Calanid CIV,omnivore,0
104085,1007,Copepoda,Calanoida,Eucalanidae,Eucalanidae,omnivore,0
104086,1032,Copepoda,Calanoida,Euchaetidae,Euchaetidae (unidentified),carnivore,0
104093,1533,Copepoda,Calanoida,Paracalanidae,Paracalanidae f,omnivore,0
104097,1813,Copepoda,Calanoida,Pontellidae,Pontellidae,carnivore,0
104103,2180,Copepoda,Calanoida,Scolecitrichidae,Scolecitrichidae f,omnivore,0
104108,318,Copepoda,Calanoida,Acartia,Acantharia,omnivore,0
104112,410,Copepoda,Calanoida,Aetideus,Aetideus spp. f,omnivore,0
104115,562,Copepoda,Calanoida,Bradyidius,Bradyidius spp. f,omnivore,0
104120,1033,Copepoda,Calanoida,Euchirella,Euchirella spp.,omnivore,0
104121,1097,Copepoda,Calanoida,Gaetanus,Gaetanus spp. (unidentified),omnivore,0
104128,2416,Copepoda,Calanoida,Undeuchaeta,Undeuchaeta spp. (Unidentified),carnivore,0
104139,936,Copepoda,Calanoida,Euaugaptilus,Euaugaptilus sp.,carnivore,0
104151,602,Copepoda,Calanoida,Calanoides,Calanoides spp.,omnivore,0
104152,625,Copepoda,Calanoida,Calanus,Calanus sp.,omnivore,0
104153,1392,Copepoda,Calanoida,Mesocalanus,Mesocalanus j,omnivore,0
104155,1474,Copepoda,Calanoida,Neocalanus,Neocalanus spp.,omnivore,0
104157,691,Copepoda,Calanoida,Candacia,Candacia spp.,carnivore,0
104159,738,Copepoda,Calanoida,Centropages,Centropages spp.,omnivore,0
104161,814,Copepoda,Calanoida,Clausocalanus,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),omnivore,0
104162,852,Copepoda,Calanoida,Ctenocalanus,Ctenocalanus spp.,omnivore,0
104164,1439,Copepoda,Calanoida,Microcalanus,Microcalanus spp.,omnivore,0
104171,1008,Copepoda,Calanoida,Eucalanus,Eucalanus spp.,omnivore,0
104172,2075,Copepoda,Calanoida,Rhincalanus,Nauplii calanoid (Rhincalanus?),omnivore,0
104173,2295,Copepoda,Calanoida,Subeucalanus,Subeucalanus spp.,omnivore,0
104174,1015,Copepoda,Calanoida,Euchaeta,Euchaeta spp.,carnivore,0
104178,1172,Copepoda,Calanoida,Heterorhabdus,Heterorhabdus spp.,carnivore,0
104183,1312,Copepoda,Calanoida,Lucicutia,Lucicutia spp.,omnivore,0
104184,1375,Copepoda,Calanoida,Mecynocera,Mecynocera spp.,omnivore,0
104190,1412,Copepoda,Calanoida,Metridia,Metridia spp.,omnivore,0
104191,1758,Copepoda,Calanoida,Pleuromamma,Pleuromamma spp.,omnivore,0
104192,390,Copepoda,Calanoida,Acrocalanus,Acrocalanus spp.,omnivore,0
104193,640,Copepoda,Calanoida,Calocalanus,Calocalanus spp.,omnivore,0
104196,1534,Copepoda,Calanoida,Paracalanus,Paracalanus spp.,omnivore,0
104201,1515,Copepoda,Calanoida,Onchocalanus,Onchocalanus sp.,omnivore,0
104207,608,Copepoda,Calanoida,Calanopia,Calanopia spp.,carnivore,0
104208,1241,Copepoda,Calanoida,Labidocera,Labidocera spp.,carnivore,0
104209,1770,Copepoda,Calanoida,Pontella,Pontella spp.,carnivore,0
104210,1814,Copepoda,Calanoida,Pontellina,Pontellina spp.,carnivore,0
104211,1819,Copepoda,Calanoida,Pontellopsis,Pontellopsis spp. f,carnivore,0
104228,2119,Copepoda,Calanoida,Scaphocalanus,Scaphocalanus spp. (Unidentified),omnivore,0
104229,2151,Copepoda,Calanoida,Scolecithricella,Scolecithricella spp. j,omnivore,0
104230,2171,Copepoda,Calanoida,Scolecithrix,Scolecithrix spp.,omnivore,0
104241,2313,Copepoda,Calanoida,Temora,Temora spp.,omnivore,0
104273,411,Copepoda,Calanoida,Aetideus acutus,Aetideus acutus f,omnivore,0
104275,413,Copepoda,Calanoida,Aetideus armatus,Aetideus armatus f,omnivore,0
104275,413,Copepoda,Calanoida,Aetideus armatus,Aetideus armatus f,omnivore,0
104299,1037,Copepoda,Calanoida,Euchirella curticauda,Euchirella curticauda,omnivore,0
104301,NA,NA,NA,NA,Euchirella messinensis,omnivore,0
104302,1049,Copepoda,Calanoida,Euchirella pulchra,Euchirella pulchra,omnivore,0
104303,1050,Copepoda,Calanoida,Euchirella rostrata,Euchirella rostrata,omnivore,0
104303,1050,Copepoda,Calanoida,Euchirella rostrata,Euchirella rostrata,omnivore,0
104342,2420,Copepoda,Calanoida,Undeuchaeta major,Undeuchaeta major,carnivore,0
104342,2420,Copepoda,Calanoida,Undeuchaeta major,Undeuchaeta major,carnivore,0
104343,2421,Copepoda,Calanoida,Undeuchaeta plumosa,Undeuchaeta plumosa,carnivore,0
104431,1150,Copepoda,Calanoida,Haloptilus longicornis,Haloptilus longicornis f,carnivore,0
104434,1155,Copepoda,Calanoida,Haloptilus oxycephalus,Haloptilus oxycephalus,carnivore,0
104462,605,Copepoda,Calanoida,Calanoides carinatus,Calanoides carinatus f,omnivore,0
104464,630,Copepoda,Calanoida,Calanus finmarchicus,Calanus finmarchicus,omnivore,0
104465,631,Copepoda,Calanoida,Calanus glacialis,Calanus glacialis,omnivore,0
104466,632,Copepoda,Calanoida,Calanus helgolandicus,Calanus helgolandicus,omnivore,0
104467,633,Copepoda,Calanoida,Calanus hyperboreus,Calanus hyperboreus,omnivore,0
104468,1394,Copepoda,Calanoida,Mesocalanus tenuicornis,Mesocalanus tenuicornis f,omnivore,0
104468,1394,Copepoda,Calanoida,Mesocalanus tenuicornis,Mesocalanus tenuicornis f,omnivore,0
104468,1394,Copepoda,Calanoida,Mesocalanus tenuicornis,Mesocalanus tenuicornis f,omnivore,0
104469,1473,Copepoda,Calanoida,Nannocalanus minor,Nannocalanus minor,omnivore,0
104471,1477,Copepoda,Calanoida,Neocalanus gracilis,Neocalanus gracilis,omnivore,0
104472,1479,Copepoda,Calanoida,Neocalanus robustior,Neocalanus robustior f,omnivore,0
104473,2435,Copepoda,Calanoida,Undinula vulgaris,Undinula vulgaris,omnivore,0
104474,692,Copepoda,Calanoida,Candacia armata,Candacia armata,carnivore,0
104475,693,Copepoda,Calanoida,Candacia bipinnata,Candacia bipinnata,carnivore,0
104476,699,Copepoda,Calanoida,Candacia curta,Candacia curta f,carnivore,0
104478,702,Copepoda,Calanoida,Candacia ethiopica,Candacia ethiopica,carnivore,0
104483,712,Copepoda,Calanoida,Candacia pachydactyla,Candacia pachydactyla f,carnivore,0
104489,743,Copepoda,Calanoida,Centropages aucklandicus,Centropages aucklandicus,omnivore,0
104491,746,Copepoda,Calanoida,Centropages bradyi,Centropages bradyi,omnivore,0
104492,748,Copepoda,Calanoida,Centropages calaninus,Centropages calaninus f,omnivore,0
104494,750,Copepoda,Calanoida,Centropages chierchiae,Centropages chierchiae eyecount,omnivore,0
104495,754,Copepoda,Calanoida,Centropages furcatus,Centropages furcatus,omnivore,0
104496,757,Copepoda,Calanoida,Centropages hamatus,Centropages hamatus,omnivore,0
104497,759,Copepoda,Calanoida,Centropages kroyeri,Centropages kroyeri m,omnivore,0
104499,770,Copepoda,Calanoida,Centropages typicus,Centropages typicus,omnivore,0
104500,773,Copepoda,Calanoida,Centropages violaceus,Centropages violaceus f,omnivore,0
104501,1223,Copepoda,Calanoida,Isias clavipes,Isias clavipes,omnivore,0
104502,NA,NA,NA,NA,Clausocalanus arcuicornis,omnivore,0
104503,819,Copepoda,Calanoida,Clausocalanus furcatus,Clausocalanus furcatus f,omnivore,0
104504,821,Copepoda,Calanoida,Clausocalanus jobei,Clausocalanus jobei f (>1.2mm),omnivore,0
104505,823,Copepoda,Calanoida,Clausocalanus lividus,Clausocalanus lividus f,omnivore,0
104506,824,Copepoda,Calanoida,Clausocalanus mastigophorus,Clausocalanus mastigophorus f,omnivore,0
104507,826,Copepoda,Calanoida,Clausocalanus parapergens,Clausocalanus parapergens f,omnivore,0
104508,827,Copepoda,Calanoida,Clausocalanus paululus,Clausocalanus paululus f,omnivore,0
104509,828,Copepoda,Calanoida,Clausocalanus pergens,Clausocalanus pergens f,omnivore,0
104510,857,Copepoda,Calanoida,Ctenocalanus vanus,Ctenocalanus vanus,omnivore,0
104510,857,Copepoda,Calanoida,Ctenocalanus vanus,Ctenocalanus vanus,omnivore,0
104513,1441,Copepoda,Calanoida,Microcalanus pygmaeus,Microcalanus pygmaeus,omnivore,0
