aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
125498,Myctophidae,Myctophidae,5815,"Gill, 1893",140,Family,10309,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,NA,NA,urn:lsid:marinespecies.org:taxname:125498,"Myctophidae Gill, 1893",NA,Myctophid,NA,NA,not determined,0,NA,NA,60,1.3086617456063012e-8,NA,NA,3,2.5798174005243908e-6,NA,NA,57,2.343688902188981e-6,21,1.4048496426617415e-8,2,2.537960421866045e-6,NA,NA,NA,NA,19,2.342828570917729e-6
125606,Syngnathidae,Syngnathidae,6113,"Bonaparte, 1831",140,Family,10327,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,NA,NA,urn:lsid:marinespecies.org:taxname:125606,"Syngnathidae Bonaparte, 1831",NA,Syngnathid,NA,NA,not determined,0,NA,NA,1,2.181102909343835e-10,NA,NA,1,8.599391335081303e-7,NA,NA,NA,NA,0.6667,4.460063127440872e-10,0.6667,8.46029106629046e-7,NA,NA,NA,NA,NA,NA
125516,Ammodytidae,Ammodytidae,5287,"Bonaparte, 1835",140,Family,11014,Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,NA,NA,urn:lsid:marinespecies.org:taxname:125516,"Ammodytidae Bonaparte, 1835",NA,Ammodytidae,NA,NA,not determined,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
125832,Protomyctophum,Protomyctophum,5970,"Fraser-Brunner, 1949",180,Genus,125498,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,NA,urn:lsid:marinespecies.org:taxname:125832,"Protomyctophum Fraser-Brunner, 1949",NA,Protomyctophum sp.,NA,NA,not determined,0,NA,NA,15,3.271654364015752e-9,NA,NA,NA,NA,NA,NA,15,6.167602374181528e-7,5,3.3448801015755753e-9,NA,NA,NA,NA,NA,NA,5,6.16533834452034e-7
129766,Vanadis longissima,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Annelida,Phyllodocida,Phyllodocidae,Vanadis,Vanadis longissima,urn:lsid:marinespecies.org:taxname:129766,"Vanadis longissima (Levinsen, 1885)",NA,Vanadis longissima,NA,NA,not determined,0,NA,NA,15,3.271654364015752e-9,NA,NA,NA,NA,NA,NA,15,6.167602374181528e-7,5,3.3448801015755753e-9,NA,NA,NA,NA,NA,NA,5,6.16533834452034e-7
1292,Anthozoa,Anthozoa,5314,"Ehrenberg, 1834",60,Class,1267,Animalia,Cnidaria,Anthozoa,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1292,"Anthozoa Ehrenberg, 1834",NA,Anthozoa larvae,NA,NA,not determined,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
103357,Appendicularia,Appendicularia,6335,"Fol, 1874",180,Genus,342470,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,NA,urn:lsid:marinespecies.org:taxname:103357,"Appendicularia Fol, 1874",Appendicularian,Appendicularia,filter-feeder,NA,not determined,1,NA,NA,6790,1.480968875444464e-6,NA,NA,6781,0.005831247,NA,NA,9,3.700561424508917e-7,4523.6725,3.026228426258927e-6,4520.6725,0.005736643942609114,NA,NA,NA,NA,3,3.699203006712204e-7
103358,Fritillaria,Fritillaria,278,"Fol, 1872",180,Genus,342471,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,NA,urn:lsid:marinespecies.org:taxname:103358,"Fritillaria Fol, 1872",Appendicularian,Fritillaria sp.,filter-feeder,NA,omnivore; herbivore,1,NA,NA,1800933,3.9280202058333206e-4,NA,NA,NA,NA,NA,NA,1800933,0.074049590976945745,600311,4.01593663731387e-4,NA,NA,NA,NA,NA,NA,600311,0.07402240853874699
103386,Fritillaria pellucida,Fritillaria pellucida,284,"(Busch, 1851)",220,Species,103358,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,Fritillaria pellucida,urn:lsid:marinespecies.org:taxname:103386,"Fritillaria pellucida (Busch, 1851)",Appendicularian,Fritillaria pellucida,filter-feeder,NA,omnivore; herbivore,1,NA,NA,439,9.575041772019437e-8,NA,NA,439,3.775132796100692e-4,NA,NA,NA,NA,292.6669,1.9578713803996175e-7,292.6669,3.713885044951138e-4,NA,NA,NA,NA,NA,NA
146421,Appendicularia,Appendicularia,268,NA,60,Class,146420,Animalia,Chordata,Appendicularia,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:146421,Appendicularia NA,Appendicularian,Appendicularia,filter-feeder,NA,herbivore; detritivore,1,NA,NA,9498150,0.002071644,9498150,0.021680594,NA,NA,NA,NA,NA,NA,5667100.000000314,0.0037911540047279985,NA,NA,5667100.000000314,NA,NA,NA,NA,NA
103356,Oikopleuridae,Oikopleuridae,314,"Lohmann, 1915",140,Family,103353,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,NA,NA,urn:lsid:marinespecies.org:taxname:103356,"Oikopleuridae Lohmann, 1915",Appendicularian,Oikopleuridae,filter-feeder,NA,not determined,1,NA,NA,87130,1.9003949649112834e-5,NA,NA,87130,0.074926497,NA,NA,NA,NA,58084.7135,3.885728047837364e-5,58084.7135,0.07370835198921417,NA,NA,NA,NA,NA,NA
103354,Fritillariidae,Fritillariidae,286,"Lohmann, 1915",140,Family,103353,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,NA,NA,urn:lsid:marinespecies.org:taxname:103354,"Fritillariidae Lohmann, 1915",Appendicularian,Fritillariidae,filter-feeder,NA,not determined,1,NA,NA,3613,7.880324811459276e-7,NA,NA,3613,0.00310696,NA,NA,NA,NA,2407.2291,1.610378543304736e-6,2407.2291,0.00305472609108211,NA,NA,NA,NA,NA,NA
103367,Oikopleura,Oikopleura,295,"Mertens, 1830",180,Genus,343701,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,urn:lsid:marinespecies.org:taxname:103367,"Oikopleura Mertens, 1830",Appendicularian,Oikopleura spp.,filter-feeder,NA,omnivore; herbivore,1,NA,NA,343752,7.49758487292762e-5,NA,NA,1155,9.932296992018904e-4,NA,NA,342597,0.01408668,114969.4447,7.691180157324469e-5,770.4447,9.776790779182293e-4,NA,NA,NA,NA,114199,0.014081509472117566
103483,Ascidia,Ascidian larvae,5332,"Linnaeus, 1767",180,Genus,103443,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,urn:lsid:marinespecies.org:taxname:103483,"Ascidia Linnaeus, 1767",NA,Colonial ascidian,filter-feeder,NA,not determined,1,NA,NA,4,8.724411637375341e-10,NA,NA,4,3.439756534032521e-6,NA,NA,NA,NA,2.6666999999999996,1.783958353374317e-9,2.6666999999999996,3.3839895284950906e-6,NA,NA,NA,NA,NA,NA
123080,Asteroidea,NA,NA,NA,NA,NA,NA,Animalia,Echinodermata,Asteroidea,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:123080,Asteroidea,NA,Asteroidea larvae,NA,NA,not determined,0,NA,NA,86,1.875748502035698e-8,NA,NA,86,7.39547654816992e-5,NA,NA,NA,NA,57.2928,3.832750933670982e-8,57.2928,7.270342942894347e-5,NA,NA,NA,NA,NA,NA
105,Bivalvia,Bivalvia,5373,"Linnaeus, 1758",60,Class,51,Animalia,Mollusca,Bivalvia,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:105,"Bivalvia Linnaeus, 1758",NA,Bivalve,omnivore,Cranford et al. (2011) ; Jørgensen (1996; 10.3354/meps142287),not determined,0,NA,NA,614610,1.3405276591118144e-4,594900,0.001357926,1707,0.001467916,17850,4.398981549270362e-6,153,6.290954421665159e-6,1422888.6635001774,9.518783954598416e-4,1137.6634999999999,0.0014436724682008004,1415750.0000001774,NA,5950,4.397874262418464e-6,51,6.288645111410747e-6
106267,Evadne,Evadne,2577,"LovÃ©n, 1836",180,Genus,106264,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,NA,urn:lsid:marinespecies.org:taxname:106267,"Evadne Lovan, 1836",Cladoceran,Evadne spp,omnivore,[3] Kim et al. (1989; 10.1007/BF00391145) - diet composed of diatoms and dinoflagellates,omnivore; carnivore,0,NA,NA,4340473,9.467018288228364e-4,4331400,0.009886907,382,3.2849674900010576e-4,8100,1.9961765013495763e-6,591,2.430035335427522e-5,6401152.111500334,0.004282217264983189,255.1115,3.2373144508143976e-4,6398000.000000334,NA,2700,1.995674035047034e-6,197,2.4291433077410137e-5
106274,Evadne spinifera,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne spinifera,urn:lsid:marinespecies.org:taxname:106274,"Evadne spinifera P.E. Müller, 1867",Cladoceran,Evadne spinifera,omnivore,Derived at genus level,not determined,0,NA,NA,2594,5.657780946837907e-7,NA,NA,2594,0.002230682,NA,NA,NA,NA,1729.5782,1.1570463410597802e-6,1729.5782,0.002194800509061157,NA,NA,NA,NA,NA,NA
106273,Evadne nordmanni,Evadne nordmanni,2578,"LovÃ©n, 1836",220,Species,106267,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne nordmanni,urn:lsid:marinespecies.org:taxname:106273,"Evadne nordmanni LovÃ©n, 1836",Cladoceran,Evadne nordmanni,omnivore,[3],omnivore; carnivore,0,NA,NA,189,4.122284498659848e-8,NA,NA,189,1.6252849623303662e-4,NA,NA,NA,NA,126.0005,8.429131304771466e-8,126.0005,1.598921410676663e-4,NA,NA,NA,NA,NA,NA
155670,Diplostraca,Cladocera,2576,"Gerstaecker, 1866",100,Order,155670,Animalia,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,urn:lsid:marinespecies.org:taxname:155670,"Diplostraca Gerstaecker, 1866",Cladoceran,Cladoceran,NA,[3] Comprised of omni and carni,omnivore,0,NA,NA,2983,6.50622997857266e-7,NA,NA,2983,0.002565198,NA,NA,NA,NA,1988.5964,1.3303233056849646e-6,1988.5964,0.002523489479132649,NA,NA,NA,NA,NA,NA
1069,Branchiopoda,Branchiopoda,5383,"Latreille, 1817",60,Class,1066,Animalia,Arthropoda,Branchiopoda,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1069,"Branchiopoda Latreille, 1817",NA,Branchiopoda indet,NA,NA,not determined,0,NA,NA,69,1.504961007447246e-8,NA,NA,NA,NA,NA,NA,69,2.837097092123503e-6,23,1.5386448467247647e-8,NA,NA,NA,NA,NA,NA,23,2.8360556384793563e-6
